,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
16_3,16,820,2.44079283014517,2.5533492214032516,2.4356030568716727,,2.4164494316799403,2.472121387756488,2.580641739177698,2.5035752753421208,2.4281881947296315,2.1613590768804234,2.386876711201504,2.487943249148278,2.460509874559363,2.4534457671210124,2.232835938286239,2.2887468277676097,2.3456925976162935,2.5060070970474557,2.3726633419397003,2.446245713099677,Incorrect,2.497071025774211
17_1,17,820,4.202959732278556,4.070944760763345,4.1384297930175045,,4.102263132731981,4.142355773030758,4.1403655827713965,4.081177850236751,3.8340067685306116,3.983726923065955,4.0153991831373945,4.037874647371613,4.066952671104839,3.8109329626100252,3.71021671746355,4.003560965104193,4.10451659101453,3.8461297131157752,3.8562956479427264,3.9633562987599618,Correct,4.13695224652095
17_2,17,820,4.113381550342623,4.07514221216927,4.043150312709322,,4.147735683313511,4.077140834940213,4.167999691443397,4.116489967066642,4.147430911904492,4.189544557882917,4.107983455896105,3.916584152489493,4.155191739474511,4.216585397721596,3.881359984667028,3.796702257053357,3.818478944798536,3.9013460629116956,3.8874992172209133,3.7001602894437506,Correct,4.094261881255947
17_3,17,820,3.659327300744053,3.751767392755123,3.3264177790968796,,1.819944121668214,1.8854966840430958,1.8052937996051912,1.9210470552869368,1.8942216449949545,1.9080286812597556,1.8464896138307059,1.9426748045391227,2.0204791815571053,1.7736064164457457,1.8419689828409591,1.9874202563441083,1.9306244390292293,1.913816424992155,1.7141372581535477,1.9001343850691506,Correct,3.7055473467495883
4_1,4,826,REJECT,,,,,,,,,,,,,,,,,,,,,
4_2,4,826,4.132124638738448,3.850380311224728,4.070078377688215,,3.9057418395648993,3.5976559197856495,3.7149977636438933,4.1485036670944035,4.044976137599898,3.706320024356138,3.720553038954275,4.181848057561288,4.340421450702656,4.158056556943422,3.676402806405247,3.333699211335261,3.3133064602850517,3.9286671817392333,4.131490828864464,4.04123505296628,Correct,3.991252474981588
4_3,4,826,5.415680926864502,5.4159100588985645,5.33815013203648,,5.499507048040752,5.168149346395533,5.399181976703627,5.62314765381866,5.569546731335603,5.420413972303654,5.2529293313628544,5.381644106710603,5.53129572024566,5.266443171498373,5.408609915934149,5.2848155700869,5.441394731439431,4.873144225875254,4.767661116637803,4.986355617885422,Correct,5.415795492881533
5_1,5,826,4.283148205081287,4.179349295753369,4.316816724622717,,4.7301434113823255,4.749531384475668,4.849452918258427,4.396955772058184,4.600498346639292,4.508067046123275,4.393271273596104,4.760608411520924,4.894796034647079,4.622065454167822,4.5564744656071205,4.730157522346005,4.693793645450995,4.597000834558522,4.440973146573708,4.509592111052925,Correct,4.231248750417327
5_2,5,826,4.5788745927658905,4.72844164423709,4.638879798887774,,4.1422761797314624,4.219164014694092,4.469211230077474,4.44935127588341,4.410337672784849,4.370751520183713,4.326965118845457,4.066530576577459,4.484308221780806,4.626470208542253,4.7320130728463985,4.903328740680298,4.553862365396415,4.583254471116216,4.629196593508842,4.52210333625252,Correct,4.65365811850149
5_3,5,826,3.724153827529993,3.657012119730652,3.635447052042801,,3.6666874934628306,3.569134042021743,3.5670073674992255,3.895198065932398,3.8917065156049437,3.8594095830899198,3.844722794798807,4.198826736094468,4.3031326362432125,4.167604263351734,4.300848362397272,4.349004593003193,4.286805633051858,3.873551482184343,3.8782508919927943,3.942717333146498,Correct,3.690582973630322
6_1,6,826,3.328663988380968,3.2072021037871012,3.235986243659537,,3.1031127684740056,3.092007005023727,3.1449194883253964,3.1061004007961537,3.1140334004451655,3.091366573713293,3.074928568849915,3.2315572558975205,3.1983130896025416,2.9670688980060413,3.1440676629484208,3.120694775459406,3.152737979368253,3.030801547002914,3.5874580439198445,3.7375091363746074,Correct,3.2679330460840346
6_2,6,826,3.537543360046715,3.5084699753433273,3.22850637403052,,3.20609727182415,3.1840219095235542,3.1264647153722787,3.1773971099038523,3.362429466667254,3.3937162670948764,3.1873918493432214,3.345485193584917,3.4975406985852224,3.2966990889524483,3.3573558337587555,3.268131175564131,3.370474262558893,3.446248709560077,3.3833019381130014,3.30289588281134,Incorrect,3.523006667695021
6_3,6,826,2.6912148317734323,2.910286027103117,2.9004694547348353,,2.7790421204961526,2.399694988752884,2.8488043317886342,2.7626554853084144,2.762882883681053,2.764193759957791,2.7373530484819373,2.7387079489876123,2.740436929446854,2.6221287176602908,2.5763707013095107,2.640317555769572,2.7673379068486046,2.908596903739646,2.9277838622090826,2.8711709044303118,Correct,2.8007504294382746
7_1,7,826,3.3879724112088514,3.5461186484047382,3.7921942095853383,,3.702204898675013,3.3372359528362803,3.340401771443034,3.4338605684331633,3.338405261750596,3.4080302063248626,3.197846240348624,3.374462939442564,3.5265547183394452,3.5298506332272415,3.4173695968413074,3.4471450720855046,3.2654150134011832,3.0661358136751327,3.1296430919901783,3.3259616047035383,Correct,3.4670455298067946
